train_acc,train_sensitividade,train_especificidade,train_f1Score,train_loss,validation_acc,validation_sensitividade,validation_especificidade,validation_f1Score,valid_loss
0.5668202764976958,0.46296296296296297,0.6697247706422018,0.5154639175257731,0.7114687342248205,0.5,1.0,0.0,0.6666666666666666,0.8358941197395324
0.8525345622119815,0.8888888888888888,0.8165137614678899,0.8571428571428572,0.3529683829452585,0.58,0.72,0.44,0.631578947368421,0.6762016296386719
0.9631336405529954,1.0,0.926605504587156,0.9642857142857143,0.17369909787095636,0.62,0.76,0.48,0.6666666666666666,0.6071029782295227
0.9953917050691244,1.0,0.9908256880733946,0.9953917050691244,0.08443937313309463,0.66,0.84,0.48,0.711864406779661,0.6097834587097168
1.0,1.0,1.0,1.0,0.04926759571111697,0.66,0.64,0.68,0.6530612244897959,0.6471774697303772
1.0,1.0,1.0,1.0,0.030457533629877225,0.64,0.6,0.68,0.6250000000000001,0.6612598598003387
1.0,1.0,1.0,1.0,0.016408541793441443,0.68,0.64,0.72,0.6666666666666666,0.6802285432815551
1.0,1.0,1.0,1.0,0.01202744783722036,0.64,0.76,0.52,0.6785714285714285,0.696395194530487
1.0,1.0,1.0,1.0,0.009664800136096878,0.62,0.64,0.6,0.6274509803921569,0.71746346950531
1.0,1.0,1.0,1.0,0.006376137656550254,0.62,0.68,0.56,0.6415094339622641,0.728920578956604
1.0,1.0,1.0,1.0,0.005197623462420523,0.64,0.68,0.6,0.6538461538461539,0.7274132370948792
1.0,1.0,1.0,1.0,0.0041231344076311256,0.64,0.68,0.6,0.6538461538461539,0.7376435041427613
1.0,1.0,1.0,1.0,0.0033269546827309968,0.66,0.68,0.64,0.6666666666666666,0.7410198748111725
1.0,1.0,1.0,1.0,0.0027433953093459256,0.64,0.64,0.64,0.64,0.7662335097789764
1.0,1.0,1.0,1.0,0.00230484136137768,0.66,0.64,0.68,0.6530612244897959,0.7648086905479431
1.0,1.0,1.0,1.0,0.0019427906139217284,0.64,0.64,0.64,0.64,0.7686317920684814
1.0,1.0,1.0,1.0,0.0016372686955854641,0.66,0.72,0.6,0.6792452830188679,0.7826809972524643
1.0,1.0,1.0,1.0,0.001399676354112713,0.66,0.64,0.68,0.6530612244897959,0.7899555206298828
1.0,1.0,1.0,1.0,0.0012431096431503098,0.62,0.64,0.6,0.6274509803921569,0.799977433681488
1.0,1.0,1.0,1.0,0.0010629313808011775,0.64,0.68,0.6,0.6538461538461539,0.807451581954956
1.0,1.0,1.0,1.0,0.0009172939427716288,0.64,0.68,0.6,0.6538461538461539,0.8145598411560059
1.0,1.0,1.0,1.0,0.0007993184437241388,0.62,0.64,0.6,0.6274509803921569,0.8178396999835968
1.0,1.0,1.0,1.0,0.00069811612862261,0.64,0.72,0.56,0.6666666666666666,0.827159833908081
1.0,1.0,1.0,1.0,0.0006297036441051603,0.62,0.64,0.6,0.6274509803921569,0.8348476409912109
1.0,1.0,1.0,1.0,0.0005450479086479902,0.64,0.68,0.6,0.6538461538461539,0.8391818583011628
1.0,1.0,1.0,1.0,0.0004840016101909724,0.64,0.68,0.6,0.6538461538461539,0.8478039860725403
1.0,1.0,1.0,1.0,0.0004372120797870174,0.62,0.68,0.56,0.6415094339622641,0.8564289212226868
1.0,1.0,1.0,1.0,0.0003862981932626153,0.64,0.68,0.6,0.6538461538461539,0.8465744018554687
1.0,1.0,1.0,1.0,0.00034802510727128264,0.64,0.68,0.6,0.6538461538461539,0.8576094031333923
1.0,1.0,1.0,1.0,0.00031473319024606156,0.64,0.68,0.6,0.6538461538461539,0.8631217956542969
