train_acc,train_sensitividade,train_especificidade,train_f1Score,train_loss,validation_acc,validation_sensitividade,validation_especificidade,validation_f1Score,valid_loss
0.543778801843318,0.5833333333333334,0.5045871559633027,0.5599999999999999,0.704364232753279,0.46,0.08,0.84,0.12903225806451613,0.7443667888641358
0.7511520737327189,0.75,0.7522935779816514,0.75,0.5649248820296081,0.52,0.12,0.92,0.19999999999999998,0.6823194742202758
0.8663594470046083,0.8611111111111112,0.8715596330275229,0.8651162790697675,0.4573654911485136,0.58,0.84,0.32,0.6666666666666667,0.6901563167572021
0.9170506912442397,0.9351851851851852,0.8990825688073395,0.9181818181818182,0.3926951898957178,0.64,0.52,0.76,0.5909090909090909,0.6488716959953308
0.9769585253456221,0.9907407407407407,0.963302752293578,0.9771689497716894,0.34651767356055124,0.72,0.76,0.68,0.7307692307692308,0.6225351333618164
0.9585253456221198,0.9814814814814815,0.9357798165137615,0.9592760180995475,0.3040687006464752,0.6,0.8,0.4,0.6666666666666666,0.6475530624389648
0.9861751152073732,0.9814814814814815,0.9908256880733946,0.986046511627907,0.26496370967632066,0.7,0.64,0.76,0.6808510638297872,0.6148413896560669
0.9953917050691244,1.0,0.9908256880733946,0.9953917050691244,0.23526992817078868,0.7,0.76,0.64,0.7169811320754718,0.6037599921226502
0.9953917050691244,1.0,0.9908256880733946,0.9953917050691244,0.20866898114230775,0.72,0.64,0.8,0.6956521739130435,0.6027788758277893
1.0,1.0,1.0,1.0,0.19145781265288453,0.64,0.76,0.52,0.6785714285714285,0.6142003417015076
0.9953917050691244,1.0,0.9908256880733946,0.9953917050691244,0.17655973115824333,0.68,0.64,0.72,0.6666666666666666,0.5860277712345123
1.0,1.0,1.0,1.0,0.1557276938024754,0.72,0.6,0.84,0.6818181818181819,0.6012763321399689
1.0,1.0,1.0,1.0,0.14422724591696867,0.72,0.76,0.68,0.7307692307692308,0.5959220051765441
1.0,1.0,1.0,1.0,0.13078046669059085,0.7,0.76,0.64,0.7169811320754718,0.5982775032520294
1.0,1.0,1.0,1.0,0.1197856692125171,0.68,0.52,0.84,0.6190476190476191,0.6099522471427917
1.0,1.0,1.0,1.0,0.11134581302168182,0.68,0.76,0.6,0.7037037037037037,0.6000204980373383
1.0,1.0,1.0,1.0,0.10311182210659652,0.72,0.68,0.76,0.7083333333333334,0.6004692316055298
1.0,1.0,1.0,1.0,0.09924954862638552,0.68,0.56,0.8,0.6363636363636364,0.6094346821308136
1.0,1.0,1.0,1.0,0.08869004438412355,0.68,0.76,0.6,0.7037037037037037,0.6025074362754822
1.0,1.0,1.0,1.0,0.08316959145431695,0.72,0.64,0.8,0.6956521739130435,0.6055184841156006
1.0,1.0,1.0,1.0,0.07809203516365745,0.72,0.72,0.72,0.72,0.6025393724441528
1.0,1.0,1.0,1.0,0.07300658475968146,0.74,0.72,0.76,0.7346938775510204,0.5981491208076477
1.0,1.0,1.0,1.0,0.06870952947279825,0.74,0.72,0.76,0.7346938775510204,0.606925630569458
1.0,1.0,1.0,1.0,0.06504935190974293,0.72,0.68,0.76,0.7083333333333334,0.6110217213630676
1.0,1.0,1.0,1.0,0.06123189540571331,0.7,0.72,0.68,0.7058823529411765,0.603050148487091
1.0,1.0,1.0,1.0,0.05769689258376849,0.72,0.68,0.76,0.7083333333333334,0.6119128465652466
1.0,1.0,1.0,1.0,0.05475613581282752,0.72,0.72,0.72,0.72,0.6100898623466492
1.0,1.0,1.0,1.0,0.05222732911942192,0.72,0.68,0.76,0.7083333333333334,0.6112780630588531
1.0,1.0,1.0,1.0,0.04958502862447967,0.68,0.72,0.64,0.6923076923076923,0.6113804996013641
1.0,1.0,1.0,1.0,0.047055096223881716,0.68,0.72,0.64,0.6923076923076923,0.6119033336639405
